c1,c2,c3,c4,name
1161331,1168713,2613742,2620431,Niesen
2614581,1093906,2620251,1088497,Matterhorn
2608392,1170655,2606856,1171800,Stockhorn
2654055,1155404,2651205,1152812,Finsteraarhorn
2600437,1173142,2601538,1172259,Gantrisch
2633323,1182978,2636040,1180189,Hohgant
2626285,1095029,2641340,1078264,Dufourspitze
2626025,1164815,2628910,1161987,Morgenberghorn
2628745,1157804,2632391,1155224,Schilthorn
2642426,1159526,2644673,1157047,Eiger
2644673,1157047,2641687,1155691,Mönch
2641330,1154970,2639276,1153511,Jungfrau
